"config","n","method","reps","pct_at_best","gap_median","gap_q95","tmse_median","kl0_median","delta_median","pct_fallback","pct_start_err","ms_per_fit"
"S1 near-Gaussian symmetric",20,"M0: 4 deterministic starts (shipped)",500,83.6,7.9886497417192e-10,0.549472066559437,1.78937543810678,0.122844496246656,100,0,0,10.0552773475647
"S1 near-Gaussian symmetric",20,"M1: 50 LHS random starts",500,99.6,0,7.07239067310182e-10,4.35675492675221,0.14360783274196,100,0,0,121.079915523529
"S1 near-Gaussian symmetric",20,"M2: Nelder-Mead (reparametrised)",500,85.2,3.66290464626218e-09,0.466505248838228,1.98964995488623,0.124940536144349,99.9999929177468,0,0,27.3348965644836
"S1 near-Gaussian symmetric",50,"M0: 4 deterministic starts (shipped)",500,98.6,7.91079202144829e-10,2.67695916988939e-08,0.207056932882212,0.0345318253306172,100,0,0,14.1073641777039
"S1 near-Gaussian symmetric",50,"M1: 50 LHS random starts",500,100,0,7.85544074233254e-10,0.210502996402261,0.0345316782954313,100,0,0,174.627059936523
"S1 near-Gaussian symmetric",50,"M2: Nelder-Mead (reparametrised)",500,98.4,7.30229743339805e-09,2.9534309931023e-08,0.20919567496943,0.0345320052820289,99.9999812162395,0,0,33.3615794181824
"S1 near-Gaussian symmetric",100,"M0: 4 deterministic starts (shipped)",500,100,7.29684757061477e-10,1.9794613592694e-08,0.0737785915419946,0.0147536195092066,100,0,0,20.9479193687439
"S1 near-Gaussian symmetric",100,"M1: 50 LHS random starts",500,100,0,7.49423634260891e-11,0.0737764362694367,0.0147537890472885,100,0,0,258.811294078827
"S1 near-Gaussian symmetric",100,"M2: Nelder-Mead (reparametrised)",500,100,1.38198430477132e-08,4.18952424752206e-08,0.0737761117109041,0.0147541188878548,99.9999521042027,0,0,40.959002494812
"S1 near-Gaussian symmetric",400,"M0: 4 deterministic starts (shipped)",500,100,4.14871692555607e-09,7.82494851137016e-08,0.0172015031089385,0.00359068449672159,41.0217369965918,0,0,65.9440536499023
"S1 near-Gaussian symmetric",400,"M1: 50 LHS random starts",500,100,0,1.99054284166777e-10,0.0172013053545473,0.00359070121028886,41.022941858223,0,0,820.07116985321
"S1 near-Gaussian symmetric",400,"M2: Nelder-Mead (reparametrised)",500,100,4.67569520878897e-08,1.64770062838215e-07,0.0172034588890082,0.00359046851398026,41.0273935350084,0,0,91.9584589004517
"S2 symmetric heavy tail",20,"M0: 4 deterministic starts (shipped)",500,92.8,5.28636689978157e-10,0.108412648308442,4.15668623088573,0.157321154317862,2.62514847181102,0,0,9.70081996917725
"S2 symmetric heavy tail",20,"M1: 50 LHS random starts",500,99.8,0,5.46161871284306e-10,5.07628631088863,0.16442726838577,2.63389946133138,0,0,122.56848526001
"S2 symmetric heavy tail",20,"M2: Nelder-Mead (reparametrised)",500,89.4,2.90279444925545e-09,0.182846768187485,3.41241184650066,0.156011051943705,2.6251301464546,0,0,25.663601398468
"S2 symmetric heavy tail",50,"M0: 4 deterministic starts (shipped)",500,100,4.60829596704571e-10,6.08636341326018e-09,0.205874403039105,0.0426524402738484,2.26116082041966,0,0,10.9150643348694
"S2 symmetric heavy tail",50,"M1: 50 LHS random starts",500,100,0,5.54884138637134e-11,0.205880152629004,0.0426528247451601,2.26117079202054,0,0,149.988487243652
"S2 symmetric heavy tail",50,"M2: Nelder-Mead (reparametrised)",500,99.8,5.36095967618166e-09,1.20282436455454e-08,0.205874995967643,0.0426535535362534,2.26118120217116,0,0,22.8823056221008
"S2 symmetric heavy tail",100,"M0: 4 deterministic starts (shipped)",500,100,5.92436322222056e-10,1.29033779217025e-08,0.0805121564373958,0.0177713762711707,2.12158562970168,0,0,13.1318526268005
"S2 symmetric heavy tail",100,"M1: 50 LHS random starts",500,100,0,1.7868728718895e-11,0.0805118678869161,0.017771233653843,2.12159263026887,0,0,187.891534328461
"S2 symmetric heavy tail",100,"M2: Nelder-Mead (reparametrised)",500,100,1.08623794403684e-08,2.23149783096232e-08,0.0805146361696,0.0177708657789654,2.12162944904412,0,0,23.0602474212646
