"config","n","box","reps","nll_median","d_nll_median","d_nll_q95","kl0_median","d_kl0_median","d_kl0_q95","delta_median","pct_delta_up","pct_w_bound","pct_sigma_lo","pct_start_err","pct_fallback","ms_per_fit"
"S1 near-Gaussian symmetric",20,"d_max=30                             ",500,27.2464657087344,0.0447760103510824,0.114553661772483,0.115421960565639,-0.00319497027519673,0.831922693416578,30,74.4,16.4,0,0,0,4.11905097961426
"S1 near-Gaussian symmetric",20,"d_max=500                            ",500,27.1908086771315,-0.0146435950968602,0.0394355071924211,0.127513339150433,0.00183514688244119,1.10626612393728,500,72.8,17.2,0,0,0,5.25816965103149
"S1 near-Gaussian symmetric",20,"d_min=0.2                            ",500,27.2086987452777,0,2.2703954272174e-10,0.122844496246656,0,9.32777185517345e-07,100,74,16.6,0,0,0,4.65106678009033
"S1 near-Gaussian symmetric",20,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,27.2086987452777,0,0,0.122844496246656,0,0,100,74,16.6,0,0,0,4.59636926651001
"S1 near-Gaussian symmetric",20,"sigma > 1e-3                         ",500,27.2170070664404,0,2.94083477569984e-09,0.122844585622133,0,2.06496205777784e-05,100,74,16.8,0,0,0,4.65617656707764
"S1 near-Gaussian symmetric",20,"w[.01,.99]                           ",500,27.123756780009,-1.07167608121017e-11,0.521649481329355,0.122270092424438,8.94225557668445e-08,7.42854184466351,100,73.6,16.6,0,0,0,5.02065515518188
"S1 near-Gaussian symmetric",50,"d_max=30                             ",500,70.7848046373167,0.0613579021880994,0.228989768521772,0.0325273520291268,-0.000407052189574538,0.0239680336904375,30,66.6,0.4,0,0,0,5.45336675643921
"S1 near-Gaussian symmetric",50,"d_max=500                            ",500,70.6872449872803,-0.016529560515707,0.077980345831962,0.034999168083756,0.000328369886831664,0.0138100822187947,500,62,0.4,0,0,0,6.94172096252441
"S1 near-Gaussian symmetric",50,"d_min=0.2                            ",500,70.7065610753996,0,4.53143300660485e-10,0.0345318089104357,0,2.83559670754754e-07,100,63,0.6,0,0,0,6.16318082809448
"S1 near-Gaussian symmetric",50,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,70.7065610753996,0,0,0.0345318253306172,0,0,100,63,0.6,0,0,0,6.1164984703064
"S1 near-Gaussian symmetric",50,"sigma > 1e-3                         ",500,70.7065610752677,0,5.93365285794789e-09,0.0345318253306172,0,4.95154348539722e-06,100,63,0.4,0,0,0,6.12560987472534
"S1 near-Gaussian symmetric",50,"w[.01,.99]                           ",500,70.7065610754934,-4.76774175695027e-12,8.61756817016609e-09,0.0345316852419218,1.8445849422552e-09,6.02954748507019e-06,100,63,0.6,0,0,0,6.14726495742798
"S1 near-Gaussian symmetric",100,"d_max=30                             ",500,142.893308731654,0.0548713547860018,0.378566329580332,0.0142223508079152,-0.000199101989631225,0.00492780987189799,30,64,0,0,0,0,7.8262939453125
"S1 near-Gaussian symmetric",100,"d_max=500                            ",500,142.680191481227,-0.00657054510946864,0.124391042877548,0.0149407521949778,0.000176292232859507,0.00262612425585484,500,52,0,0,0,0,10.06214427948
"S1 near-Gaussian symmetric",100,"d_min=0.2                            ",500,142.716414824639,0,1.73031367012299e-09,0.0147536195092066,0,3.11627556113992e-07,100,55.6,0,0,0,0,8.90402317047119
"S1 near-Gaussian symmetric",100,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,142.716414824639,0,0,0.0147536195092066,0,0,100,55.6,0,0,0,0,9.05993223190308
"S1 near-Gaussian symmetric",100,"sigma > 1e-3                         ",500,142.716414825261,0,8.26767205808209e-09,0.0147530294126788,0,1.3158123392321e-06,100,55.6,0,0,0,0,8.89344787597656
"S1 near-Gaussian symmetric",100,"w[.01,.99]                           ",500,142.716414824966,-7.7733375292155e-12,1.83934275810316e-08,0.0147534238453899,6.26261732034582e-09,1.85119950082942e-06,100,55.6,0,0,0,0,8.91028547286987
"S1 near-Gaussian symmetric",400,"d_max=30                             ",500,578.958709750891,0.0197497974589851,0.724920785083611,0.00339501637893899,-6.74337929335361e-05,0.00104707450504794,30,57,0,0,0,0,22.685601234436
"S1 near-Gaussian symmetric",400,"d_max=500                            ",500,578.728260896372,0,0.195969722884609,0.00377804089808646,0,0.00064004644429286,41.0217369965918,30,0,0,0,0,28.1068291664124
"S1 near-Gaussian symmetric",400,"d_min=0.2                            ",500,578.747384355718,0,2.37561664562235e-08,0.00359088999277631,0,4.67941748205852e-07,41.0218125485515,34.8,0,0,0,0,25.9942631721497
"S1 near-Gaussian symmetric",400,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,578.747384357796,0,0,0.00359068449672159,0,0,41.0217369965918,34.8,0,0,0,0,25.7171564102173
"S1 near-Gaussian symmetric",400,"sigma > 1e-3                         ",500,578.74738435873,0,4.42126406596799e-08,0.00359068604741448,0,6.56761770735572e-07,41.0229168172171,34.8,0,0,0,0,25.7879700660706
"S1 near-Gaussian symmetric",400,"w[.01,.99]                           ",500,578.747384345043,-6.30961949354969e-12,6.64242179482243e-08,0.00359026171644953,4.34212718558591e-09,1.04455969192841e-06,41.0221673656401,34.8,0,0,0,0,25.7498860359192
"S2 symmetric heavy tail",20,"d_max=30                             ",500,36.6416583258417,0,0.0769724156316684,0.157321154317862,0,0.948614546113085,2.62514847181102,22,11.6,0,0,0,3.84899759292603
"S2 symmetric heavy tail",20,"d_max=500                            ",500,36.6416583258417,0,0.0255110477814402,0.157321154317862,0,1.63197639675039,2.62514847181102,20,11.6,0,0,0,4.43991184234619
"S2 symmetric heavy tail",20,"d_min=0.2                            ",500,36.6416583312813,0,1.92243270191738e-09,0.157320141960848,0,6.07402548149643e-06,2.62514989654639,20.6,11.6,0,0,0,4.04317903518677
"S2 symmetric heavy tail",20,"shipped:  w[.05,.95] d[.5,100] s>1e-6",500,36.6416583258417,0,0,0.157321154317862,0,0,2.62514847181102,20.6,11.6,0,0,0,4.20335006713867
"S2 symmetric heavy tail",20,"sigma > 1e-3                         ",500,36.6416583258603,0,1.28861845638539e-09,0.157320096429132,0,2.01296721896796e-05,2.62514847181102,20.6,11.8,0,0,0,4.02807331085205
"S2 symmetric heavy tail",20,"w[.01,.99]                           ",500,36.5614518853457,-1.13686837721616e-11,0.569425890452858,0.164426063306118,1.18757349568815e-07,1.97845871418053,2.63858662608032,20.6,13.4,0,0,0,4.18663597106934
"S2 symmetric heavy tail",50,"d_max=30                             ",500,95.5706056504424,0,0,0.0426524402738484,0,0,2.26116082041966,2.6,0.2,0,0,0,4.72930526733398
"S2 symmetric heavy tail",50,"d_max=500                            ",500,95.5706056504424,0,0,0.0426524402738484,0,0,2.26116082041966,1.8,0.2,0,0,0,4.79189968109131
