"config","n","reps","theta_bias","theta_rmse","w_bias","w_rmse","sigma_bias","sigma_rmse","delta_median","delta_iqr","kl_median","pct_delta_up","pct_delta_lo","pct_w_bound","pct_fallback","pct_start_err","ms_per_fit"
"S1 near-Gaussian symmetric",10,1000,-0.0232666790741965,0.969797658197104,-0.00316758908823928,0.345805977583724,-0.457495967043528,0.552671154384529,100,0,0.714285249366193,80.2,0.5,53.3,0,0,4.59449195861816
"S1 near-Gaussian symmetric",20,1000,-0.00721424099266284,0.790840434340189,-0.00161926943745654,0.255514941210881,-0.241238815409297,0.360761527524404,100,0,0.122015854943317,77,0,18.9,0,0,4.88507914543152
"S1 near-Gaussian symmetric",30,1000,-0.00874190208089417,0.618106469568241,-0.002951936131069,0.196003785062639,-0.15456082985532,0.259235570470815,100,81.6848940743344,0.0608834294017994,69.2,0,7,0,0,5.05657076835632
"S1 near-Gaussian symmetric",50,1000,0.0135446743959215,0.451079932887221,0.00116562753383055,0.136879764430159,-0.0844438098668296,0.167977770402035,100,86.2858926943497,0.0315612643586748,59.2,0,1.2,0,0,6.09776568412781
"S1 near-Gaussian symmetric",100,1000,-0.00494266370251355,0.277658192199998,-0.00171865809338777,0.0824880887009092,-0.0372860508609716,0.0972251480632074,100,84.6493987833184,0.0144076347942557,56.3,0,0,0,0,8.84239459037781
"S1 near-Gaussian symmetric",200,1000,0.00906444466652923,0.185989448871707,0.00282944764021977,0.0541756250339576,-0.0167510126906606,0.0646948777054611,69.8146948568074,82.7368493695424,0.00723159577033669,47.6,0,0,0,0,14.2396206855774
"S1 near-Gaussian symmetric",500,1000,0.00386916244735295,0.115554195893207,0.00208967025771907,0.034099792178514,-0.00987462519341606,0.0454291536762679,34.9039916673905,82.0551974915508,0.00292201021655728,33.1,0,0,0,0,30.9685981273651
"S1 near-Gaussian symmetric",1000,1000,-0.00154330240261976,0.0836229544506307,-0.000669826970102687,0.0241168422695051,-0.00368630291413335,0.0321596133801931,32.7244224323019,61.7387774172881,0.00147500923331326,23,0,0,0,0,59.1327633857727
"S2 symmetric heavy tail",10,1000,-0.0300098413335606,1.24592907641196,-0.00428196474679578,0.329369968026258,-0.271793552192508,0.557160369262841,27.6352151821948,98.3156736613976,0.87192256811085,49.1,1.2,46,0,0,3.98005414009094
"S2 symmetric heavy tail",20,1000,0.0173130091717924,0.780413687334454,0.00943489294098557,0.21592149283242,-0.105813610868446,0.384353219335033,2.59045314664742,12.9695466185787,0.172500693299093,21.4,0.1,10.9,0,0,4.06798028945923
